m,T,c,algo,K,n_seeds,mean_regret,sem_regret
30,100,0.000123457,surr,1,100,12.805432,0.298481
30,100,0.000123457,col,1,100,5.693641,0.235459
30,216,0.000266667,surr,1,100,28.013303,0.428523
30,216,0.000266667,col,1,100,12.594705,0.326299
30,467,0.000576543,surr,2,100,43.809427,0.489165
30,467,0.000576543,col,1,100,28.604791,0.476745
30,1009,0.00124568,surr,2,100,66.998675,0.465196
30,1009,0.00124568,col,2,100,41.485102,0.548043
30,2182,0.00269383,surr,2,100,91.296500,0.458830
30,2182,0.00269383,col,2,100,71.200613,0.680017
30,4718,0.00582469,surr,3,100,137.618771,0.580950
30,4718,0.00582469,col,3,100,124.021469,0.755842
30,10199,0.0125914,surr,4,100,190.867650,0.621183
30,10199,0.0125914,col,3,100,181.009105,0.771483
30,22045,0.027216,surr,5,100,250.499366,0.629400
30,22045,0.027216,col,5,100,276.425964,0.780124
30,47651,0.0588284,surr,7,100,344.126614,0.616528
30,47651,0.0588284,col,6,100,362.727747,0.728909
30,103000,0.12716,surr,9,100,447.420224,0.634979
30,103000,0.12716,col,8,100,475.092484,0.709434
30,222636,0.274859,surr,11,100,560.609537,0.711204
30,222636,0.274859,col,11,100,609.706296,0.698968
30,481234,0.594116,surr,15,100,747.697768,0.679500
30,481234,0.594116,col,16,100,778.628174,0.633404
30,1040199,1.2842,surr,19,100,951.567448,0.727688
30,1040199,1.2842,col,22,100,944.181259,0.678724
30,2248415,2.77582,surr,24,100,1210.244040,0.919706
30,2248415,2.77582,col,30,100,1116.146032,0.706495
30,4860000,6,surr,31,100,1562.872332,0.854410
30,4860000,6,col,42,100,1305.065915,0.746819
