m,T,c,K_surr,K_col,n_seeds,mean_surr,sem_surr,mean_col,sem_col,ratio_mean,ratio_sem
8,122,0.0297852,2,1,100,7.414451,0.228615,6.033218,0.219315,0.837898,0.025381
8,186,0.0454102,2,2,100,9.769622,0.220333,6.051254,0.215523,0.621764,0.021075
8,281,0.0686035,2,2,100,11.752965,0.219438,8.375212,0.239546,0.717343,0.018639
8,426,0.104004,2,2,100,13.992457,0.184003,11.257991,0.219767,0.810059,0.014937
8,646,0.157715,3,3,100,19.343393,0.242380,15.190455,0.267476,0.788014,0.012179
8,978,0.23877,3,3,100,21.828519,0.242796,18.772669,0.284225,0.862316,0.010918
8,1481,0.361572,3,4,100,24.365877,0.261238,23.644535,0.297692,0.974897,0.011416
8,2243,0.547607,4,4,100,31.170749,0.236671,27.719293,0.273105,0.890905,0.007808
8,3397,0.829346,5,5,100,37.996401,0.222528,33.333637,0.272060,0.877962,0.005984
8,5144,1.25586,5,6,100,40.634053,0.228592,38.976838,0.246740,0.960665,0.005920
8,7789,1.90161,6,7,100,48.029788,0.257505,44.250974,0.252344,0.922392,0.004788
8,11796,2.87988,7,8,100,55.935938,0.247515,49.351833,0.233937,0.882891,0.003590
8,17862,4.36084,8,10,100,64.275756,0.277536,55.936660,0.254109,0.870771,0.003248
8,27049,6.60376,9,12,100,73.232098,0.252625,61.918434,0.229376,0.845772,0.002408
8,40960,10,10,14,100,82.425113,0.282830,67.644118,0.228628,0.821032,0.002381
12,622,0.0299961,2,2,100,25.264891,0.294642,19.774553,0.283117,0.787993,0.011333
12,942,0.0454282,3,2,100,35.079293,0.359682,24.950359,0.320301,0.713696,0.008098
12,1426,0.0687693,3,3,100,39.371709,0.338475,33.387931,0.387776,0.848657,0.007654
12,2160,0.104167,3,3,100,44.141837,0.331592,40.446942,0.393598,0.917378,0.007173
12,3270,0.157697,4,4,100,56.250365,0.289720,51.516537,0.389181,0.916514,0.006156
12,4953,0.23886,4,4,100,61.850371,0.303880,59.454935,0.395572,0.962003,0.005750
12,7500,0.36169,5,5,100,73.968945,0.305517,71.050974,0.385268,0.960758,0.003945
12,11357,0.547695,6,6,100,88.347708,0.285748,83.255109,0.354696,0.942569,0.003285
12,17198,0.829379,7,7,100,102.917989,0.341984,95.266499,0.383100,0.925711,0.002378
12,26043,1.25593,8,9,100,118.754210,0.272396,111.488456,0.353538,0.938934,0.002542
12,39436,1.90181,9,10,100,134.128069,0.319810,122.238862,0.345898,0.911526,0.002229
12,59718,2.87992,10,12,100,150.938294,0.329092,135.884323,0.321644,0.900420,0.001867
12,90430,4.36101,12,15,100,178.290850,0.350661,152.187730,0.336871,0.853689,0.001549
12,136936,6.60378,13,18,100,198.046311,0.341867,166.689558,0.326902,0.841737,0.001323
12,207360,10,15,21,100,228.095272,0.319289,180.683470,0.323037,0.792145,0.000925
18,3149,0.0299973,3,3,100,74.890796,0.437928,69.075382,0.558735,0.923092,0.006322
18,4768,0.0454199,4,3,100,94.973976,0.410282,83.658644,0.589577,0.881192,0.005489
18,7221,0.0687872,4,4,100,104.576643,0.405176,105.208920,0.496921,1.006415,0.003866
18,10935,0.104167,5,5,100,127.426176,0.400697,129.855554,0.509602,1.019310,0.003295
18,16558,0.157731,6,6,100,151.907165,0.366802,155.269061,0.482629,1.022382,0.003014
18,25074,0.238855,7,7,100,177.562252,0.392606,180.345470,0.498355,1.015840,0.002495
18,37970,0.361702,7,8,100,187.808666,0.435592,204.498827,0.551164,1.089250,0.003273
18,57497,0.547716,9,9,100,231.927599,0.411614,227.758594,0.503183,0.982106,0.001816
18,87067,0.829399,10,11,100,260.870405,0.455866,260.352031,0.530632,0.998142,0.001925
18,131844,1.25594,11,13,100,291.884237,0.463511,290.457239,0.562240,0.995166,0.001524
18,199649,1.90185,13,15,100,341.149189,0.486493,319.015258,0.540438,0.935169,0.001287
18,302324,2.87993,15,18,100,393.172762,0.477258,353.330419,0.495770,0.898723,0.001203
18,457803,4.36103,17,22,100,448.794328,0.516700,390.246990,0.532762,0.869586,0.001056
18,693241,6.6038,20,27,100,523.669957,0.594292,428.095189,0.541045,0.817515,0.000785
18,1049760,10,23,32,100,603.590576,0.568606,462.626948,0.539477,0.766466,0.000629
